"","init.auc","sample.auc","change.auc","percent"
"bioclim_01",0.714,0.721,0,NA
"bioclim_02",0.714,0.757,0,NA
"bioclim_03",0.714,0.754,0,NA
"bioclim_04",0.714,0.785,0,NA
"bioclim_05",0.714,0.79,0,NA
"bioclim_06",0.714,0.801,0,NA
"bioclim_07",0.714,0.813,0,NA
"bioclim_08",0.714,0.806,0,NA
"bioclim_09",0.714,0.801,0,NA
"bioclim_10",0.714,0.796,0,NA
"bioclim_11",0.714,0.794,0,NA
"bioclim_12",0.714,0.806,0,NA
"bioclim_13",0.714,0.81,0,NA
"bioclim_14",0.714,0.823,0,NA
"bioclim_15",0.714,0.83,0,NA
"bioclim_16",0.714,0.846,0,NA
"bioclim_17",0.714,0.858,0,NA
"bioclim_18",0.714,0.856,0,NA
