"","sample_ 1","sample_ 2","sample_ 3","sample_ mean","percent"
"bioclim_01",0.019,0.018,0.017,0.018,0
"bioclim_02",0.018,0.018,0.018,0.018,0
"bioclim_03",0.029,0.031,0.027,0.029,0
"bioclim_04",0.056,0.0679999999999999,0.0649999999999999,0.063,1
"bioclim_05",0.101,0.094,0.098,0.098,1
"bioclim_06",0.167,0.156,0.159,0.161,2
"bioclim_07",0.176,0.184,0.178,0.179,2
"bioclim_08",0.224,0.2,0.205,0.21,2
"bioclim_09",0.481,0.519,0.496,0.499,5
"bioclim_10",0.566,0.559,0.566,0.564,6
"bioclim_11",0.623,0.63,0.626,0.626,7
"bioclim_12",0.627,0.626,0.627,0.627,7
"bioclim_13",0.738,0.709,0.736,0.728,8
"bioclim_14",0.839,0.825,0.805,0.823,9
"bioclim_15",0.844,0.854,0.846,0.848,9
"bioclim_16",0.99,1,1,0.997,11
"bioclim_17",1,1,1,1,11
"bioclim_18",1,1,1,1,11
"bioclim_19",1,1,1,1,11
