"","Testing.data","Cutoff","Sensitivity","Specificity"
"ODP",0.864,-0.197,7.937,99.75
"TNR",1,-0.092,6.349,100
"FPR",1,-0.092,6.349,100
"FNR",0.254,-0.39,25.397,98.25
"NPP",0.893,-0.388,25.397,98.25
"MCR",0.883,-0.388,25.397,98.25
"OR",-999964.603,-0.215,7.937,99.75
"KAPPA",0.323,-0.388,25.397,98.25
"TSS",0.236,-0.388,25.397,98.25
"ROC",0.862,-1.528,80.952,79.5
"FAR",1,-0.119,6.349,100
"SR",1,-0.119,6.349,100
"ACCURACY",0.883,-0.388,25.397,98.25
"BIAS",0.381,-0.394,25.397,98
"POD",0.254,-0.39,25.397,98.25
"CSI",0.229,-0.388,25.397,98.25
"ETS",0.192,-0.388,25.397,98.25
