"","init.auc","sample.auc","change.auc","percent"
"bioclim_01",0.858,0.807,0.0509999999999999,21
"bioclim_02",0.858,0.807,0.0509999999999999,21
"bioclim_03",0.858,0.807,0.0509999999999999,21
"bioclim_04",0.858,0.825,0.033,13
"bioclim_05",0.858,0.825,0.033,13
"bioclim_06",0.858,0.839,0.019,8
"bioclim_07",0.858,0.85,0.00800000000000001,3
"bioclim_08",0.858,0.868,0,0
"bioclim_09",0.858,0.872,0,0
"bioclim_10",0.858,0.873,0,0
"bioclim_11",0.858,0.878,0,0
"bioclim_12",0.858,0.878,0,0
"bioclim_13",0.858,0.878,0,0
"bioclim_14",0.858,0.883,0,0
"bioclim_15",0.858,0.883,0,0
"bioclim_16",0.858,0.882,0,0
"bioclim_17",0.858,0.882,0,0
"bioclim_18",0.858,0.882,0,0
"bioclim_19",0.858,0.882,0,0
