"","Testing.data","Cutoff","Sensitivity","Specificity"
"ODP",0.864,-0.953,0,100
"TNR",1,-0.943,0,100
"FPR",1,-0.943,0,100
"FNR",0.286,-1.905,28.571,98.5
"NPP",0.897,-1.905,28.571,98.5
"MCR",0.89,-1.905,28.571,98.5
"OR",-999972.733,-1.905,28.571,98.5
"KAPPA",0.366,-1.905,28.571,98.5
"TSS",0.271,-1.905,28.571,98.5
"ROC",0.895,-2.04,79.365,84.75
"FAR",0.75,-1.905,28.571,98.5
"SR",0.75,-1.905,28.571,98.5
"ACCURACY",0.89,-1.905,28.571,98.5
"BIAS",0.381,-1.905,28.571,98.5
"POD",0.286,-1.905,28.571,98.5
"CSI",0.261,-1.905,28.571,98.5
"ETS",0.224,-1.905,28.571,98.5
