"","sample_ 1","sample_ 2","sample_ 3","sample_ mean","percent"
"bioclim_01",0.00900000000000001,0.011,0.00800000000000001,0.009,0
"bioclim_02",0.022,0.021,0.021,0.021,0
"bioclim_03",0.022,0.022,0.022,0.022,0
"bioclim_04",0.448,0.435,0.434,0.439,3
"bioclim_05",0.44,0.437,0.442,0.44,3
"bioclim_06",0.756,0.691,0.732,0.726,5
"bioclim_07",0.939,0.985,0.974,0.966,7
"bioclim_08",0.969,0.973,0.969,0.97,7
"bioclim_09",0.964,0.966,0.965,0.965,7
"bioclim_10",0.965,0.965,0.966,0.965,7
"bioclim_11",0.966,0.966,0.966,0.966,7
"bioclim_12",0.966,0.966,0.966,0.966,7
"bioclim_13",0.967,0.968,0.966,0.967,7
"bioclim_14",0.971,0.961,0.964,0.965,7
"bioclim_15",0.968,0.966,0.969,0.968,7
"bioclim_16",0.969,0.969,0.969,0.969,7
"bioclim_17",0.964,0.961,0.96,0.962,7
"bioclim_18",0.96,0.96,0.96,0.96,7
"bioclim_19",0.962,0.957,0.955,0.958,7
