"","init.auc","sample.auc","change.auc","percent"
"bioclim_01",0.929,0.897,0.032,1
"bioclim_02",0.929,0.883,0.046,1
"bioclim_03",0.929,0.882,0.047,1
"bioclim_04",0.929,0.833,0.0960000000000001,3
"bioclim_05",0.929,0.819,0.11,3
"bioclim_06",0.929,0.737,0.192,6
"bioclim_07",0.929,0.722,0.207,6
"bioclim_08",0.929,0.721,0.208,6
"bioclim_09",0.929,0.719,0.21,6
"bioclim_10",0.929,0.718,0.211,6
"bioclim_11",0.929,0.718,0.211,6
"bioclim_12",0.929,0.717,0.212,6
"bioclim_13",0.929,0.718,0.211,6
"bioclim_14",0.929,0.718,0.211,6
"bioclim_15",0.929,0.715,0.214,7
"bioclim_16",0.929,0.715,0.214,7
"bioclim_17",0.929,0.716,0.213,7
"bioclim_18",0.929,0.716,0.213,7
"bioclim_19",0.929,0.72,0.209,6
