"","Testing.data","Cutoff","Sensitivity","Specificity"
"ODP",0.823,375.5,52.381,93.836
"TNR",0.997,714,38.095,96.918
"FPR",0.997,714,38.095,96.918
"FNR",0.937,78.03,93.651,35.616
"NPP",0.963,78.03,93.651,35.616
"MCR",0.87,512.268,46.032,95.89
"OR",-999979.098,512.268,46.032,95.89
"KAPPA",0.499,303.697,52.381,93.836
"TSS",0.479,163.51,61.905,85.959
"ROC",0.802,163.5,61.905,85.959
"FAR",0.8,714,38.095,96.918
"SR",0.8,714,38.095,96.918
"ACCURACY",0.87,512.268,46.032,95.89
"BIAS",0.81,303.697,52.381,93.836
"POD",0.937,78.03,93.651,35.616
"CSI",0.407,303.697,52.381,93.836
"ETS",0.333,303.697,52.381,93.836
