"","Testing.data","Cutoff","Sensitivity","Specificity"
"ODP",0.823,247.5,63.492,80.479
"TNR",0.976,493,17.46,97.26
"FPR",0.976,493,17.46,97.26
"FNR",1,9.439,100,13.699
"NPP",1,9.439,100,13.699
"MCR",0.839,450.843,36.508,94.178
"OR",-999977.185,31.758,98.413,26.027
"KAPPA",0.427,309.495,61.905,85.616
"TSS",0.483,175.586,77.778,70.548
"ROC",0.811,176.5,77.778,70.89
"FAR",0.591,488.04,20.635,96.918
"SR",0.591,488.04,20.635,96.918
"ACCURACY",0.839,450.843,36.508,94.178
"BIAS",0.968,361.571,52.381,89.041
"POD",1,9.439,100,13.699
"CSI",0.371,309.495,61.905,85.616
"ETS",0.272,309.495,61.905,85.616
